airline_id,dep_airport,des_airport,dep_name,dep_city,dep_country,dep_lat,dep_lng,total,des_name,des_city,des_country,airport_id,des_lat,des_lng,alt
UA,EWR,DME,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,56,Domodedovo International Airport,Moscow,Russia,DME,55.40879822,37.90629959,588
UA,JFK,POP,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,1262,Gregorio Luperon International Airport,Puerto Plata,Dominican Republic,POP,19.75790024,-70.56999969,15
FX,EWR,STN,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,216,London Stansted Airport,London,United Kingdom,STN,51.88499832,0.234999999,348
UA,EWR,CZM,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,22,Cozumel International Airport,Cozumel,Mexico,CZM,20.5223999,-86.92559814,15
MQ,JFK,YOW,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,4181,Ottawa Macdonald-Cartier International Airport,Ottawa,Canada,YOW,45.32249832,-75.66919708,374
5C,JFK,YYT,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,700,St. John's International Airport,St. John's,Canada,YYT,47.61859894,-52.75189972,461
3S,JFK,FRA,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,5406,Frankfurt am Main Airport,Frankfurt,Germany,FRA,50.033333,8.570556,364
AA,JFK,YQX,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,55,Gander International Airport,Gander,Canada,YQX,48.93690109,-54.56809998,496
DL,JFK,MUC,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,2057,Munich Airport,Munich,Germany,MUC,48.353802,11.7861,1487
DL,JFK,ARN,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,1536,Stockholm-Arlanda Airport,Stockholm,Sweden,ARN,59.65190125,17.91860008,137
DL,JFK,DUS,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,1465,Düsseldorf Airport,Duesseldorf,Germany,DUS,51.289501,6.76678,147
TP,EWR,YQX,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,55,Gander International Airport,Gander,Canada,YQX,48.93690109,-54.56809998,496
UA,EWR,LCA,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,2,Larnaca International Airport,Larnaca,Cyprus,LCA,34.87509918,33.62490082,8
UA,JFK,PUJ,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,3067,Punta Cana International Airport,Punta Cana,Dominican Republic,PUJ,18.56739998,-68.36340332,47
